test_id,rater_paper,rater_independent
intensity,A.1,A.1
consistency,A.1,A.1
resistance,A.1,A.1
resilience,A.1,A.1
concentration-score,A.1,A.1
complexity,A.1,A.1
magnitude-scale,A.1,A.1
baseline-distance,A.1,A.1
extremity,A.1,A.1
normalcy,A.1,B
dominance,A.1,A.1
flatness,A.1,A.1
noise-floor,A.1,A.1
focus,A.1,A.1
stability,A.1,A.1
redundancy,A.1,A.1
isolation,A.1,A.1
outlier-sensitivity,A.1,A.1
info-density,A.1,B
typical-size,A.1,C.1
stretch,A.1,A.1
sensitivity-score,A.1,A.1
weight,A.1,A.1
noise,A.1,A.1
coverage,A.1,B
coherence,A.1,A.1
smoothness,A.2,A.2
regularity,A.2,A.2
trend-consistency,A.2,A.2
trend,A.2,A.2
balance,A.2,A.2
autocorr,A.2,B
rate-of-change,A.2,A.2
entropy,B,B
distance,B,B
cosine,B,B
correlation,B,B
variability,B,B
monotonicity,B,B
normalized-spread,B,B
dispersion-ratio,B,B
avg-magnitude,B,A.1
tail-asymmetry,B,B
variability-index,B,B
volatility-index,B,B
amplitude,B,B
relative-change,C.1,C.1
relative-magnitude,C.1,C.1
deviation-score,C.1,C.1
mean-deviation,C.1,C.1
distance-to-center,C.1,C.1
center,C.1,C.1
central-ratio,C.1,C.1
relative-range,C.1,C.1
upper-bound,C.1,C.1
outlier-penalty,C.1,C.2
utilization,C.1,C.1
density-ratio,C.1,A.1
peak-ratio,C.1,C.1
range-score,C.1,C.1
drop-rate,C.1,C.1
support,C.1,C.1
trend-deviation,C.1,C.1
volatility,C.2,C.2
oscillation,C.2,C.2
avg-difference,C.2,C.2
burstiness,C.2,A.2
sharpness,C.2,C.2
swing,C.2,C.2
error,C.2,C.2
normalization,C.2,C.2
weighted-median,C.2,C.2
dynamic-range,C.2,C.2
roughness,C.2,C.2
slope,C.2,C.2
covariance,C.2,C.2
average-speed,C.2,C.2
growth-factor,C.2,C.2
local-variation,C.2,C.2
average-rate,C.2,C.2
